variable,n_cas,n_ctrl,mean_cas,std_cas,median_cas,mean_ctrl,std_ctrl,median_ctrl,test,statistic,p_value,signif
age,101,223,34.99,16.28,34.0,49.39,18.69,54.0,Mann-Whitney,6234.0,0.0,***
poids_kg,101,223,65.64,16.78,67.0,70.88,18.21,70.0,Mann-Whitney,9226.5,0.0092,**
taille_m,101,223,1.61,0.14,1.62,1.63,0.11,1.65,Mann-Whitney,10104.0,0.1271,ns
imc,101,223,25.12,5.15,24.34,26.52,6.65,26.33,Mann-Whitney,9768.5,0.056,ns
glycemie,101,223,0.98,0.18,1.0,1.1,0.25,1.03,Mann-Whitney,8226.5,0.0001,***
temp_ext,101,223,18.79,2.79,17.0,19.93,4.84,19.0,Mann-Whitney,10971.5,0.7047,ns
heure_injection_h,101,223,10.21,1.44,10.5,10.17,1.53,10.42,Mann-Whitney,11123.0,0.8597,ns
